recclass,Meteorite_Class,Meteorite_Type
H5,Chrondrite - ordinary,Chrondrite
L6,Chrondrite - ordinary,Chrondrite
L5,Chrondrite - ordinary,Chrondrite
"Iron, ungrouped",Iron - other,Iron
"Iron, IVA",Iron - magmatic,Iron
"Iron, IIIAB",Iron - magmatic,Iron
Eucrite-pmict,Achrondrite,Chrondrite
OC,Chrondrite - ordinary,Chrondrite
H6,Chrondrite - ordinary,Chrondrite
L3,Chrondrite - ordinary,Chrondrite
CO3.7,Chrondrite - carbonaceous,Chrondrite
"Pallasite, PMG-an",Pallasite,Stony-iron
H,Chrondrite - ordinary,Chrondrite
"Iron, IAB-MG",Iron - primitive,Iron
"Pallasite, ungrouped",Pallasite,Stony-iron
Mesosiderite-B4,Mesosiderite,Stony-iron
"Iron, IIC",Iron - magmatic,Iron
"Iron, IC",Iron - magmatic,Iron
"Iron, IIIF",Iron - magmatic,Iron
C2-ung,Chrondrite - carbonaceous,Chrondrite
H3,Chrondrite - ordinary,Chrondrite
L4,Chrondrite - ordinary,Chrondrite
Eucrite-mmict,Achrondrite,Chrondrite
Aubrite,Achrondrite,Chrondrite
H4,Chrondrite - ordinary,Chrondrite
CV3,Chrondrite - carbonaceous,Chrondrite
H4/5,Chrondrite - ordinary,Chrondrite
H3.7,Chrondrite - ordinary,Chrondrite
"Iron, IID",Iron - magmatic,Iron
"Iron, IAB-ung",Iron - other,Iron
H?,Chrondrite - ordinary,Chrondrite
"Iron, IAB-sLM",Iron - primitive,Iron
"Iron, IIAB",Iron - primitive,Iron
"Iron, IAB-sLL",Iron - primitive,Iron
"Iron, IIF",Iron - magmatic,Iron
"Iron, IVB",Iron - magmatic,Iron
LL4,Chrondrite - ordinary,Chrondrite
Iron,Iron - other,Iron
EL6/7,Chrondrite - enstatite,Chrondrite
CK3,Chrondrite - carbonaceous,Chrondrite
L,Chrondrite - ordinary,Chrondrite
LL5,Chrondrite - ordinary,Chrondrite
Acapulcoite,Achrondrite,Chrondrite
H4/6,Chrondrite - ordinary,Chrondrite
H3.5,Chrondrite - ordinary,Chrondrite
"Iron, IIIE",Iron - magmatic,Iron
"Iron, IAB complex",Iron - primitive,Iron
LL6,Chrondrite - ordinary,Chrondrite
L6/7,Chrondrite - ordinary,Chrondrite
H3.9,Chrondrite - ordinary,Chrondrite
"Pallasite, PMG",Pallasite,Stony-iron
H3-6,Chrondrite - ordinary,Chrondrite
Winonaite,Achondrites - primitive,Chrondrite
H3-4,Chrondrite - ordinary,Chrondrite
LL3.3,Chrondrite - ordinary,Chrondrite
CO3.3,Chrondrite - carbonaceous,Chrondrite
Howardite,Achrondrite,Chrondrite
"Iron, IIG",Iron - magmatic,Iron
"Iron, IAB-an",Iron - primitive,Iron
CM2,Chrondrite - carbonaceous,Chrondrite
CO3.0,Chrondrite - carbonaceous,Chrondrite
L3.5-5,Chrondrite - ordinary,Chrondrite
H3.4,Chrondrite - ordinary,Chrondrite
LL3.1,Chrondrite - ordinary,Chrondrite
CBa,Chrondrite - carbonaceous,Chrondrite
H3.6,Chrondrite - ordinary,Chrondrite
L3-6,Chrondrite - ordinary,Chrondrite
L5-7,Chrondrite - ordinary,Chrondrite
Ureilite,Achrondrites - asteroidal,Chrondrite
K3,Achrondrite - other,Achrondrite
LL3.4,Chrondrite - ordinary,Chrondrite
H3.8,Chrondrite - ordinary,Chrondrite
H3.10,Chrondrite - ordinary,Chrondrite
L/LL5,Chrondrite - ordinary,Chrondrite
H(5?),Chrondrite - ordinary,Chrondrite
"Iron, IIE",Iron - magmatic,Iron
Eucrite-cm,Achrondrite,Chrondrite
"Iron, IAB-sHH",Iron - primitive,Iron
EL6,Chrondrite - enstatite,Chrondrite
Mesosiderite-A3,Mesosiderite,Stony-iron
H4-an,Chrondrite - ordinary,Chrondrite
L/LL4,Chrondrite - ordinary,Chrondrite
"Pallasite, PES",Pallasite,Stony-iron
R3-6,Chrondrite - other,Chrondrite
CM1,Chrondrite - carbonaceous,Chrondrite
L-imp melt,Chrondrite - ordinary,Chrondrite
C4-ung,Chrondrite - carbonaceous,Chrondrite
L/LL3.4,Chrondrite - ordinary,Chrondrite
Mesosiderite,Mesosiderite,Stony-iron
Aubrite-an,Achrondrite,Chrondrite
LL3.7,Chrondrite - ordinary,Chrondrite
Diogenite,Achrondrite,Chrondrite
EH4/5,Chrondrite - enstatite,Chrondrite
Pallasite,Pallasite,Stony-iron
H/L4,Chrondrite - ordinary,Chrondrite
L3.6,Chrondrite - ordinary,Chrondrite
Mesosiderite-A1,Mesosiderite,Stony-iron
"Iron, IAB-sLH",Iron - primitive,Iron
"Iron, IAB-sHL",Iron - primitive,Iron
Mesosiderite-A3/4,Mesosiderite,Stony-iron
"Iron, IIE-an",Iron - magmatic,Iron
Diogenite-pm,Achrondrite,Chrondrite
L3.2,Chrondrite - ordinary,Chrondrite
L3.5,Chrondrite - ordinary,Chrondrite
H4-6,Chrondrite - ordinary,Chrondrite
L/LL6,Chrondrite - ordinary,Chrondrite
L4-6,Chrondrite - ordinary,Chrondrite
H3-5,Chrondrite - ordinary,Chrondrite
Mesosiderite-A2,Mesosiderite,Stony-iron
H-melt rock,Chrondrite - ordinary,Chrondrite
L5/6,Chrondrite - ordinary,Chrondrite
L3.4,Chrondrite - ordinary,Chrondrite
H-metal,Chrondrite - ordinary,Chrondrite
CR,Chrondrite - carbonaceous,Chrondrite
"Iron, IIIAB?",Iron - other,Iron
Eucrite,Achrondrite,Chrondrite
C,Chrondrite - carbonaceous,Chrondrite
H5-6,Chrondrite - ordinary,Chrondrite
LL3,Chrondrite - ordinary,Chrondrite
CK4,Chrondrite - carbonaceous,Chrondrite
CK5,Chrondrite - carbonaceous,Chrondrite
L3.7,Chrondrite - ordinary,Chrondrite
